Type,Source,Target,key
CoverOf,16999,14893,0
InStyleOf,17049,14107,0
InterpolatesFrom,17049,7026,0
InterpolatesFrom,17231,14352,0
InStyleOf,17231,14296,0
DirectlySamples,17261,2197,0
CoverOf,17261,9223,0
InStyleOf,17273,3881,0
CoverOf,17273,9848,0
CoverOf,17275,16312,0
InStyleOf,17275,15855,0
LyricalReferenceTo,17277,876,0
LyricalReferenceTo,17277,3986,0
InterpolatesFrom,17279,14658,0
CoverOf,17280,14933,0
InStyleOf,17280,10534,0
InStyleOf,17285,8207,0
InStyleOf,17286,10903,0
LyricalReferenceTo,17287,13589,0
InterpolatesFrom,17287,11254,0
InStyleOf,17289,5574,0
InterpolatesFrom,17290,12685,0
InStyleOf,17290,12237,0
DirectlySamples,17292,13014,0
InStyleOf,17292,6592,0
CoverOf,17350,10016,0
DirectlySamples,17255,17260,1
InStyleOf,17255,17299,0
LyricalReferenceTo,17255,17327,0
InStyleOf,17255,17192,0
LyricistOf,17255,16961,0
LyricistOf,17255,16989,0
LyricistOf,17255,16999,0
LyricistOf,17255,17047,0
LyricistOf,17255,17048,0
LyricistOf,17255,17049,0
LyricistOf,17255,17121,0
LyricistOf,17255,17231,0
LyricistOf,17255,17252,0
LyricistOf,17255,17261,0
LyricistOf,17255,17262,0
LyricistOf,17255,17263,0
PerformerOf,17255,17272,0
LyricistOf,17255,17272,1
PerformerOf,17255,17273,0
LyricistOf,17255,17273,1
PerformerOf,17255,17274,0
LyricistOf,17255,17274,1
PerformerOf,17255,17275,0
LyricistOf,17255,17275,1
PerformerOf,17255,17276,0
LyricistOf,17255,17276,1
PerformerOf,17255,17277,0
LyricistOf,17255,17277,1
PerformerOf,17255,17278,0
LyricistOf,17255,17278,1
PerformerOf,17255,17279,0
PerformerOf,17255,17280,0
PerformerOf,17255,17281,0
PerformerOf,17255,17282,0
PerformerOf,17255,17283,0
PerformerOf,17255,17284,0
PerformerOf,17255,17285,0
PerformerOf,17255,17286,0
PerformerOf,17255,17287,0
PerformerOf,17255,17288,0
PerformerOf,17255,17289,0
PerformerOf,17255,17290,0
PerformerOf,17255,17291,0
PerformerOf,17255,17292,0
PerformerOf,17255,17293,0
PerformerOf,17255,17294,0
LyricistOf,17255,17350,0
PerformerOf,17255,17350,1
LyricistOf,17255,17356,0
PerformerOf,17255,17356,1
PerformerOf,17255,17410,0
