Node Type,Label,single,release_date,genre,notable,Id,written_date,stage_name,notoriety_date,year,Relationship
MusicalGroup,Tidal Reverie,,,,,16987,,,,,CollabOFArtist
MusicalGroup,The Brine Choir,,,,,17046,,,,,CollabOFArtist
MusicalGroup,Selkie's Hollow,,,,,17120,,,,,CollabOFArtist
Person,Kai Reynolds,,,,,17226,,,,,CollabOFArtist
MusicalGroup,The Wave Riders,,,,,17230,,,,,CollabOFArtist
Person,Ella Parker,,,,,17242,,,,,OFCommunity
MusicalGroup,Mariner's Refrain,,,,,17243,,,,,OFCommunity
MusicalGroup,Siren's Call,,,,,17250,,,,,CollabOFArtist
Person,Sailor Shift,,,,,17255,,,,,SailorShift
Person,Maya Jensen,,,,,17256,,,,,CollabOFArtist
Person,Sophie Ramirez,,,,,17259,,,,,CollabOFArtist
MusicalGroup,Ivy Echos,,,,,17260,,,,,CollabOFArtist
Person,Beatrice Albright,,,,,17349,,Bea Azure,,,CollabOFArtist
Person,Daniel O'Connell,,,,,17355,,Kael Storm,,,CollabOFArtist
MusicalGroup,Copper Canyon Ghosts,,,,,17361,,,,,DirectlyInfluenced
Person,Isla Quinn,,,,,17409,,,,,OFCommunity
